,City Number,City Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,3418910,Upernavik,72.7868,-56.1549,42.78,81,19,6.51,GL,1595823272
122,2214846,Mişrātah,32.3754,15.0925,76.95,77,0,5.86,LY,1595823075
123,1623197,Tual,-5.6667,132.75,79.36,83,83,24.05,ID,1595823011
124,2264557,Ponta do Sol,32.6667,-17.1,68.0,72,20,11.41,PT,1595823079
125,6170031,Tuktoyaktuk,69.4541,-133.0374,66.2,68,75,8.05,CA,1595823389
126,2145554,Ulladulla,-35.35,150.4667,55.4,100,90,27.51,AU,1595823064
127,1246294,Galle,6.0367,80.217,82.2,77,100,15.3,LK,1595822982
128,2051523,Bratsk,56.1325,101.6142,68.0,77,40,4.47,RU,1595823058
129,653272,Kemijärvi,66.7131,27.4306,54.0,87,0,2.48,FI,1595822964
130,6096551,Pangnirtung,66.1451,-65.7125,51.49,70,100,2.57,CA,1595823383
131,1337613,Kulhudhuffushi,6.6221,73.07,81.88,73,35,8.21,MV,1595822998
132,2063036,Port Lincoln,-34.7333,135.8667,57.31,64,59,8.95,AU,1595823058
133,5554072,Juneau,58.3019,-134.4197,55.99,87,90,9.17,US,1595823371
134,5882953,Aklavik,68.2191,-135.0107,71.6,37,75,9.17,CA,1595823378
135,2647356,Hastings,50.8552,0.5729,59.0,99,100,1.99,GB,1595823101
136,553374,Kaminskiy,57.1516,41.4732,62.28,79,21,2.62,RU,1595822961
137,5324903,Arvin,35.2091,-118.8284,90.0,31,0,5.01,US,1595823369
138,2163355,Hobart,-42.8794,147.3294,55.99,66,90,14.99,AU,1595823068
139,2071860,Esperance,-33.8667,121.9,62.6,67,83,21.92,AU,1595823059
140,541795,Krasnyye Barrikady,46.2045,47.8535,75.2,38,12,11.18,RU,1595822960
141,949683,Thabazimbi,-24.5917,27.4116,34.0,79,0,3.83,ZA,1595822975
142,2250645,Kédougou,12.5579,-12.1743,73.63,94,100,1.36,SN,1595823079
143,5367788,Lompoc,34.6391,-120.4579,60.8,82,0,11.41,US,1595823370
144,3530103,Cozumel,20.5083,-86.9458,82.99,78,100,8.01,MX,1595823288
145,5919850,Chapais,49.7834,-74.8492,66.2,100,1,2.24,CA,1595823382
146,5850554,Makakilo City,21.3469,-158.0858,82.4,65,90,14.99,US,1595823377
147,5972762,Hay River,60.8156,-115.7999,69.8,73,75,3.36,CA,1595823383
148,3867427,Mayor Pablo Lagerenza,-19.9309,-60.7718,64.58,60,76,3.74,PY,1595823304
149,3347719,Luena,-11.7833,19.9167,48.13,63,0,5.1,AO,1595823269
150,2361373,Diapaga,12.0708,1.7889,73.09,94,21,6.73,BF,1595823081
151,5690532,Minot,48.2325,-101.2963,69.01,59,1,9.17,US,1595823376
152,2643044,Margate,51.3813,1.3862,63.0,88,100,4.0,GB,1595823100
153,3372472,Vila Franca do Campo,37.7167,-25.4333,69.8,94,75,4.7,PT,1595823272
154,1651810,Airai,-8.9266,125.4092,77.4,50,70,7.07,TL,1595823012
155,5746545,Portland,45.5234,-122.6762,89.01,42,1,9.17,US,1595823377
156,1489661,Tevriz,57.509,72.4042,67.96,60,27,3.2,RU,1595822999
157,5983626,Invermere,50.5167,-116.0354,71.01,41,0,2.17,CA,1595823383
158,4021858,Guerrero Negro,27.9769,-114.0611,67.57,86,0,15.9,MX,1595823313
159,1235846,Matara,5.9485,80.5353,82.27,75,100,13.51,LK,1595822978
160,1634614,Nabire,-3.3667,135.4833,84.36,74,32,5.84,ID,1595823011
161,1258366,Ratangarh,28.0833,74.6,95.11,41,1,13.47,IN,1595822983
162,3584003,Puerto El Triunfo,13.2833,-88.55,77.0,94,27,3.36,SV,1595823289
163,5563839,Fortuna,40.5982,-124.1573,57.0,89,53,0.25,US,1595823371
164,2012530,Zhigansk,66.7697,123.3711,55.11,58,60,11.39,RU,1595823054
165,5962442,Goderich,43.7501,-81.7165,81.0,77,100,15.7,CA,1595823382
166,1486321,Yar-Sale,66.8333,70.8333,54.05,68,100,10.0,RU,1595822998
167,1835848,Seoul,37.5683,126.9778,78.8,83,90,2.37,KR,1595823048
168,1503153,Klyuchi,52.2667,79.1667,72.95,45,94,4.52,RU,1595822999
169,1735902,Sibu,2.3,111.8167,77.0,94,40,2.24,MY,1595823031
170,935215,Saint-Philippe,-21.3585,55.7679,68.0,64,56,5.82,RE,1595822975
171,1513491,Komsomolskiy,40.4272,71.7189,73.4,73,66,2.24,UZ,1595822999
172,3576994,Cockburn Town,21.4612,-71.1419,82.31,83,32,15.64,TC,1595823288
173,2354176,Tougan,13.0667,-3.0667,78.01,78,98,7.31,BF,1595823081
174,2122090,Pevek,69.7008,170.3133,42.98,88,27,27.94,RU,1595823064
175,2112802,Hasaki,35.7333,140.8333,86.0,70,75,12.75,JP,1595823063
176,2208248,Kaitangata,-46.2817,169.8464,50.2,70,0,0.63,NZ,1595823075
177,3981432,Todos Santos,23.45,-110.2167,73.99,83,7,1.99,MX,1595823305
178,2111884,Miyako,39.6367,141.9525,73.04,83,77,8.46,JP,1595823063
179,3438102,Fuerte Olimpo,-21.0415,-57.8738,67.26,62,100,1.68,PY,1595823277
180,3932145,Pisco,-13.7,-76.2167,60.8,82,90,8.05,PE,1595823305
181,2240449,Luanda,-8.8368,13.2343,71.6,88,75,6.93,AO,1595823079
182,3355672,Lüderitz,-26.6481,15.1594,57.2,71,0,12.75,NA,1595823269
183,3471451,Arraial do Cabo,-22.9661,-42.0278,71.04,88,49,13.87,BR,1595823283
184,1244926,Hambantota,6.1241,81.1185,84.2,74,75,9.17,LK,1595822982
185,1242110,Kalmunai,7.4167,81.8167,82.6,69,98,4.32,LK,1595822982
186,1789065,Ankang,32.68,109.0172,86.13,64,23,2.93,CN,1595823037
187,1529102,Ürümqi,43.801,87.6005,86.0,33,91,6.71,CN,1595823003
188,5504003,Fernley,39.608,-119.2518,84.0,21,57,14.0,US,1595823370
189,2420826,Gaoual,11.75,-13.2,73.72,94,100,2.62,GN,1595823081
190,2206939,Bluff,-46.6,168.3333,50.86,71,0,4.5,NZ,1595823075
191,2122493,Omsukchan,62.5333,155.8,78.78,36,0,12.53,RU,1595823064
192,2015306,Tiksi,71.6872,128.8694,37.94,91,100,7.83,RU,1595823054
193,1855540,Naze,28.3667,129.4833,87.8,79,75,16.11,JP,1595823048
194,8079926,Labuhan,-6.8844,112.2051,83.75,56,80,5.32,ID,1595823508
195,5122534,Jamestown,42.097,-79.2353,71.6,83,1,5.82,US,1595823357
196,359792,Aswan,24.0934,32.907,86.94,14,0,8.28,EG,1595822953
197,3402648,Carutapera,-1.195,-46.02,73.81,92,2,2.59,BR,1595823272
198,2396518,Port-Gentil,-0.7193,8.7815,74.35,85,56,10.96,GA,1595823081
199,582447,Almaznyy,48.0448,40.045,75.2,29,56,8.95,RU,1595822962
200,5847411,Kahului,20.8947,-156.47,82.4,74,75,5.82,US,1595823377
201,3516212,Teabo,20.4,-89.2833,79.92,80,52,5.93,MX,1595823284
202,2729907,Longyearbyen,78.2186,15.6401,60.8,63,4,2.24,SJ,1595823112
203,3466165,Cidreira,-30.1811,-50.2056,55.51,89,83,7.18,BR,1595823283
204,2142316,Yeppoon,-23.1333,150.7333,71.6,30,0,11.41,AU,1595823064
205,2515555,La Roda,39.2167,-2.15,69.01,68,0,7.0,ES,1595823085
206,3893726,Constitución,-35.3333,-72.4167,49.87,80,100,7.61,CL,1595823305
207,699777,Nova Vodolaha,49.7185,35.8708,68.0,52,91,6.71,UA,1595822969
208,1527497,Kyzyl-Suu,42.3395,78.0047,62.64,63,100,2.66,KG,1595823003
209,3687972,Calamar,10.2511,-74.9146,77.41,88,100,4.23,CO,1595823297
210,2063042,Port Hedland,-20.3167,118.5667,80.6,12,28,13.87,AU,1595823058
211,6137571,Saint-Césaire,45.4168,-72.9991,77.0,99,50,5.99,CA,1595823384
212,92004,Rāwah,34.4816,41.9093,95.74,15,74,3.24,IQ,1595822945
